#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Volibear, the Relentless Storm","League of Legends,Einar Selvik",47,150,"speedrun, video game music, viking folk","Electronic, Classical, Folk/Acoustic","Volibear, the Relentless Storm",2020-05-12,03:18,38,75,43,5,22,0,10,-6,C Minor,4,2023-12-26,6wMKi4VyXoxUHAOOJIJ1by,"Riot Games",5A,https://p.scdn.co/mp3-preview/d3ea059f28fa824fe02e50fa0f8157893f532cff?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519bb690cfbb5b3d43a5ccdeb4
2,"不義遊戯","照井順政",36,167,"","","TVアニメ『呪術廻戦』オリジナル・サウンドトラック",2021-04-21,03:16,44,85,0,87,22,0,10,-7,C Major,4,2023-12-26,5g3zq0rh4CiykkZlomFB5r,"TOHO animation RECORDS",8B,https://p.scdn.co/mp3-preview/61f50766838d46ca465b5a9ce764ffc988ad1bb9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519230f7c8dfff664d6ac2ad0b
3,"Apetitan","Hiroyuki Sawano",50,96,"anime score, japanese soundtrack","Pop, Easy listening","TV Anime "Attack on Titan Season 2" (Original Soundtrack)",2017-06-07,05:31,20,74,0,75,9,0,0,-9,B Minor,3,2023-12-26,3115D00LQjPPbLqfeuEWES,"PONY CANYON",10A,https://p.scdn.co/mp3-preview/1f29b7b9c08c5141ea0846c0d5e2d53a4d6d1432?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519c44e39f1b6aafe87a6db356
4,"Shinzo wo Sasageyo!","Linked Horizon",70,160,"anime, otacore","Pop","Shingeki no Kiseki",2017-00-00,05:41,44,98,22,0,20,0,20,-4,C Major,4,2023-12-26,5uraJqtCBvLpwt3VeomZdq,"PONY CANYON INC.",8B,https://p.scdn.co/mp3-preview/9a6bffee121f2c40be36b75757cc7c6ca63048dc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485174164dc6fb6a320abf6a34fd
5,"REMEMBER","Masato(coldrain),coladrain,Hiroaki Tsutsumi",47,151,"anime, anime score","Pop","TVアニメ『呪術廻戦』オリジナル・サウンドトラック",2021-04-21,04:03,38,94,0,0,33,10,20,-6,C♯/D♭ Minor,4,2023-12-26,54mvZdgPuvumvWK0GXz7oo,"TOHO animation RECORDS",12A,https://p.scdn.co/mp3-preview/e8abbc13602f82f23388c2289eb92f74f017761c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519230f7c8dfff664d6ac2ad0b
6,"自閉円頓裹","桶狭間ありさ",47,160,"","","TVアニメ『呪術廻戦』オリジナル・サウンドトラック",2021-04-21,01:52,51,94,1,71,51,0,0,-7,D Major,4,2023-12-26,4gDajIG4yNgBtym4zgtfRe,"TOHO animation RECORDS",10B,https://p.scdn.co/mp3-preview/b6e3ab00a75c558ebd82bdfd60f2ca044afd22b3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519230f7c8dfff664d6ac2ad0b
7,"Dirty Little Animals (from the series Arcane League of Legends)","BONES UK",56,106,"slayer","Metal","Arcane League of Legends (Soundtrack from the Animated Series)",2021-11-20,03:25,58,84,3,0,60,30,40,-6,C♯/D♭ Minor,4,2023-12-26,3GAkqaCeVaT4CxHR06Eztc,"Riot Games",12A,https://p.scdn.co/mp3-preview/59faf9e39c8bc15466438dc0eac6f52c8a7cd5ea?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d10169c17651c8b2ab5c8416
8,"LOCO","ITZY",0,102,"k-pop, k-pop girl group","Pop","CRAZY IN LOVE",2021-09-24,03:11,76,89,1,0,50,10,30,-3,C♯/D♭ Major,4,2023-12-26,5b8FtevTVz8xVF6E208xeV,"JYP Entertainment",3B,,https://i.scdn.co/image/ab67616d000048517cba267dc81d036a71f46a3a
9,"help herself","bbno$,Diamond Pistols",63,168,"canadian hip hop, dark trap, meme rap, ","Hip Hop","help herself",2021-01-29,03:08,61,85,62,35,48,0,10,-8,E Minor,4,2023-12-26,4YMc3A256xFBS0xcT77Qce,"n/a",9A,https://p.scdn.co/mp3-preview/bd91b690a30ad46e310dd0cc106cfbf197a73a78?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cf614ee721dfd6597b5a8ea7
10,"Lost Chapter","Pentakill,Jorn Lande",55,135,"melodic power metal, ","Metal","III: Lost Chapter",2021-09-08,03:49,49,98,0,0,31,10,0,-5,E Minor,4,2023-12-26,207K1MXwebxpXDS43OazOU,"Riot Games",9A,https://p.scdn.co/mp3-preview/f8c15fd8f2751ac4c1c812c37a12177d4f8d3403?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851271db82dc8ab36a58edb04d7
11,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons,JID,Arcane,League of Legends",79,77,"modern rock, pop, rock, hip hop, pop rap, rap, underground hip hop, speedrun, video game music","Hip Hop, Rock, Pop, Electronic, Classical","Enemy (with JID) [from the series Arcane League of Legends]",2021-10-28,02:53,73,78,24,0,56,20,40,-4,B Minor,4,2023-12-26,1r9xUipOqoNwggBpENDsvJ,"KIDinaKORNER/Interscope Records",10A,,https://i.scdn.co/image/ab67616d00004851aa597e50829169e6994eb403
12,"i remember","bbno$",37,77,"canadian hip hop, dark trap, meme rap","Hip Hop","eat ya veggies",2021-10-08,03:23,60,82,0,71,82,0,20,-6,D#/E♭ Major,4,2023-12-26,6qZcifm7zyUgsjXzooHbpz,"bbno$",5B,,https://i.scdn.co/image/ab67616d000048518c25aa58d7e0894df7436348
13,"Eternal Youth","RŮDE",66,140,"japanese chillhop, rochester mn indie","Electronic, Pop","Eternal Youth",2017-08-07,03:25,66,49,3,90,5,0,20,-8,F#/G♭ Major,4,2023-12-26,0ytvsZOerGzUWfHXVT2Sgy,"Chill Squad",2B,https://p.scdn.co/mp3-preview/382362d729212567cb7c9048c89807a5f31a0c19?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851097f3d06dd8726a91f526e21
14,"Hai Domo","Cao White",0,72,"","","Hai Domo",2021-06-09,01:44,59,90,17,0,87,30,60,-4,G#/A♭ Minor,3,2023-12-26,4N7V5vstdiEhYLSSdhcPlp,"Cao White",1A,,https://i.scdn.co/image/ab67616d00004851ae41142490428f62de13b2cc
15,"Lightbringer - Acoustic","Pentakill,Jorn Lande",49,130,"melodic power metal, ","Metal","III: Lost Chapter",2021-09-08,03:14,45,33,80,0,17,0,10,-10,A Minor,4,2023-12-26,2c3RC6Q1srMggPeBitBBvO,"Riot Games",8A,https://p.scdn.co/mp3-preview/8e425990d9634a06ad225574ebf6731918647080?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851271db82dc8ab36a58edb04d7
16,"Burn It All Down","League of Legends,PVRIS",67,145,"speedrun, video game music, pixie, pop emo, pop punk","Rock, Electronic, Classical","Burn It All Down",2021-09-28,03:21,55,69,0,0,23,0,10,-7,A Minor,4,2023-12-26,0ked784BOZ1JtRVHux98jE,"Riot Games",8A,https://p.scdn.co/mp3-preview/86935c567aa7b678895cb1944c8fdad3e42b5ce9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485162b4ad8a3803bfb2f2d28f41
17,"sriracha","bbno$,lentra",56,100,"canadian hip hop, dark trap, meme rap","Hip Hop","sriracha",2019-04-19,02:09,92,48,9,0,96,20,10,-9,F Minor,4,2023-12-26,27uqXX6GcgnvzE2QzNaj4z,"no records",4A,https://p.scdn.co/mp3-preview/0260ae8b11704b54d1820005031f28a78a5148e6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485103cd7a1aae8bc7cacb96bb42
