#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"help herself","bbno$,Diamond Pistols",64,168,"canadian hip hop, dark trap, meme rap, ","Hip Hop","help herself",2021-01-29,03:08,61,85,62,35,48,0,10,-8,E Minor,4,2024-01-05,4YMc3A256xFBS0xcT77Qce,"n/a",9A,https://p.scdn.co/mp3-preview/bd91b690a30ad46e310dd0cc106cfbf197a73a78?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cf614ee721dfd6597b5a8ea7
2,"Lucid Dreams","Juice WRLD",86,84,"chicago rap, melodic rap, rap","Hip Hop","Goodbye & Good Riddance",2018-12-10,03:59,51,57,35,0,22,20,30,-7,F#/G♭ Minor,4,2024-01-05,285pBltuF7vW8TeWk8hdRR,"Juice WRLD Mixtape / ISR P&D",11A,,https://i.scdn.co/image/ab67616d00004851f7db43292a6a99b21b51d5b4
3,"Sarılırım Birine","Adamlar",65,130,"turkish rock","Rock","Dünya Günlükleri",2019-04-12,06:33,63,71,19,1,33,0,20,-8,A Major,4,2024-01-05,0d7qHnB6CNvn1UsO5i3ElE,"GARAJ",11B,https://p.scdn.co/mp3-preview/d3c7e8a2d15f54c662fee041ece0ba42a74d326d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510b362fca4833c8d3b0cc5616
4,"Holy Wars...The Punishment Due - 2004 Remix","Megadeth",70,125,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Rust In Peace (2004 Remix / Expanded Edition)",1990-10-04,06:32,33,99,0,11,22,10,30,-4,B Major,4,2024-01-05,5LyRtsQLhcXmy50VXhQXXS,"Capitol Records",1B,,https://i.scdn.co/image/ab67616d00004851be9fa5a89479b6af481938a0
5,"Tornado Of Souls - 2004 Remix","Megadeth",67,98,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Rust In Peace (2004 Remix / Expanded Edition)",1990-10-04,05:19,52,98,0,0,36,10,10,-4,G Major,4,2024-01-05,4E5xVW505akJX0wcKj8Mpd,"Capitol Records",9B,,https://i.scdn.co/image/ab67616d00004851be9fa5a89479b6af481938a0
6,"In My Darkest Hour - Remastered 2004","Megadeth",56,113,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","So Far, So Good...So What! (Expanded Edition - Remastered)",1988-01-26,06:26,32,98,0,27,27,10,10,-5,A Major,4,2024-01-05,5LO0sJCkNMZYLYeGOvblLu,"Capitol Records",11B,,https://i.scdn.co/image/ab67616d00004851e949e0e6c9eac438a68f5b37
7,"All Girls Are The Same","Juice WRLD",86,162,"chicago rap, melodic rap, rap","Hip Hop","Goodbye & Good Riddance",2018-12-10,02:45,67,53,8,0,20,30,0,-7,C Major,4,2024-01-05,4VXIryQMWpIdGgYR4TrjT1,"Juice WRLD Mixtape / ISR P&D",8B,,https://i.scdn.co/image/ab67616d00004851f7db43292a6a99b21b51d5b4
8,"Seni Dert Etmeler","Madrigal",73,88,"turkish alt pop, turkish rock","Pop, Rock","Seni Dert Etmeler",2020-03-27,03:08,55,61,15,0,84,0,30,-11,F Minor,4,2024-01-05,10n66m41IGjA2ZulKPK7Ew,"AVRUPA MÜZİK YAPIM",4A,https://p.scdn.co/mp3-preview/7a7c33a32d79630c7330a44636346a5d2b4e9baa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519aa96c06d5c346ccf6ffaf8d
9,"Lost Chapter","Pentakill,Jorn Lande",55,135,"melodic power metal, ","Metal","III: Lost Chapter",2021-09-08,03:49,49,98,0,0,31,10,0,-5,E Minor,4,2024-01-05,207K1MXwebxpXDS43OazOU,"Riot Games",9A,https://p.scdn.co/mp3-preview/f8c15fd8f2751ac4c1c812c37a12177d4f8d3403?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851271db82dc8ab36a58edb04d7
10,"Whip A Tesla","Yung Gravy,bbno$",59,170,"meme rap, minnesota hip hop, canadian hip hop, dark trap","Hip Hop","Sensational",2019-05-31,02:33,81,53,18,0,54,30,0,-7,A Minor,4,2024-01-05,6nsyYPCDUSacgXci9mvWln,"Republic Records",8A,,https://i.scdn.co/image/ab67616d0000485115353ebee04814bb8153aa74
11,"Executioner's Calling","Pentakill,Jorn Lande,Tre Watson",44,140,"melodic power metal, ","Metal","III: Lost Chapter",2021-09-08,04:36,43,95,0,0,26,10,10,-6,G Major,4,2024-01-05,5hdHRPKv5pwB93nBq19reU,"Riot Games",9B,https://p.scdn.co/mp3-preview/77415091384e3a7fd4025ce9cf6b62a3a9962217?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851271db82dc8ab36a58edb04d7
12,"slop","bbno$",36,174,"canadian hip hop, dark trap, meme rap","Hip Hop","slop",2019-10-18,02:45,72,41,29,0,22,30,0,-11,C Major,4,2024-01-05,5X5w66oR8QlDrHDTWrEZeh,"bbno$",8B,https://p.scdn.co/mp3-preview/7c62309c5d6d50735cded1ea8e2b0095a3d2a22c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ef503bd480cb5c81ae2ee491
13,"SLOW DANCING IN THE DARK","Joji",83,89,"viral pop","Pop","BALLADS 1",2018-10-26,03:29,52,48,54,1,28,0,10,-7,D#/E♭ Major,4,2024-01-05,0rKtyWc8bvkriBthvHKY8d,"88rising Music/Warner Records",5B,https://p.scdn.co/mp3-preview/1aa59cfc4e15a45403fd35eb72ce62acd8a45f58?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485160ba1d6104d0475c7555a6b2
14,"Summer Madness","Kool & The Gang",53,176,"disco, funk, motown, soft rock, soul","R&B, Rock","Light Of Worlds",1974-09,04:17,30,33,1,86,41,0,0,-16,F#/G♭ Minor,4,2024-01-05,5BxHfyGk49gqbg5BdW6FO4,"UMC (Universal Music Catalogue)",11A,,https://i.scdn.co/image/ab67616d000048513230e89363780d0cf2ea6c64
15,"Instant Crush (feat. Julian Casablancas)","Daft Punk,Julian Casablancas",77,110,"electro, filter house, rock, indie rock","Hip Hop, Electronic, Rock","Random Access Memories",2013-05-20,05:37,78,59,4,62,52,0,0,-10,A#/B♭ Minor,4,2024-01-05,2cGxRwrMyEAp8dEbuZaVv6,"Columbia",3A,https://p.scdn.co/mp3-preview/a52d000457fc91fdb18bfaa1f690c82bf7b1a036?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519b9b36b0e22870b9f542d937
16,"New Person, Same Old Mistakes","Tame Impala",80,152,"australian psych, modern rock, neo-psychedelic, rock","Metal, Rock, Folk/Acoustic","Currents",2015-07-17,06:03,47,81,27,1,49,0,0,-7,G#/A♭ Major,4,2024-01-05,52ojopYMUzeNcudsoz7O9D,"Universal Music Australia Pty. Ltd.",4B,,https://i.scdn.co/image/ab67616d000048519e1cfc756886ac782e363d79
17,"i remember","bbno$",37,77,"canadian hip hop, dark trap, meme rap","Hip Hop","eat ya veggies",2021-10-08,03:23,60,82,0,71,82,0,20,-6,D#/E♭ Major,4,2024-01-05,6qZcifm7zyUgsjXzooHbpz,"bbno$",5B,,https://i.scdn.co/image/ab67616d000048518c25aa58d7e0894df7436348
18,"Dünyaya Bedel","mor ve ötesi",49,145,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock","Sirenler",2022-01-21,05:48,51,83,0,0,62,0,0,-6,F#/G♭ Minor,4,2024-01-05,7EkTXLhxIusS6lSKlSymbA,"RAKUN MÜZİK FİLM",11A,https://p.scdn.co/mp3-preview/a20c29009e60034ce9d516ee2bc3916d1765d618?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c749522e6390ff6cfe941033
19,"Uykusuz ve Dengesiz","Yüzyüzeyken Konuşuruz",64,94,"turkish alternative rock, turkish rock","Rock","Akustik Travma",2018-02-23,03:39,60,54,68,62,51,0,10,-9,C Major,4,2024-01-05,6WWWxMoe1w971lhmidgnCM,"SONY MUSIC TURKEY",8B,https://p.scdn.co/mp3-preview/25f1ff209b4164fc40c9e8db9b22a6a827c71f4d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512de642b64eadaeff4697f156
20,"Hide (feat. Seezyn)","Juice WRLD,Seezyn",77,150,"chicago rap, melodic rap, rap, cincinnati rap","Hip Hop","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)",2018-12-14,03:25,72,64,6,0,15,0,10,-5,F Minor,4,2024-01-05,6rz0dTA0PdhXImFV5EjM0w,"Universal Records",4A,,https://i.scdn.co/image/ab67616d00004851e2e352d89826aef6dbd5ff8f
21,"Feeling","Juice WRLD",0,160,"chicago rap, melodic rap, rap","Hip Hop","Death Race For Love",2019-03-08,03:21,71,52,23,0,56,0,20,-6,A#/B♭ Minor,4,2024-01-05,2Jh3UqxnHJMyzMzku4uOtE,"Grade A Productions/Interscope Records",3A,,https://i.scdn.co/image/ab67616d00004851af149eb4002f65f83afc63c4
22,"505","Arctic Monkeys",87,140,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","Favourite Worst Nightmare",2007-04-22,04:13,53,87,0,0,25,0,0,-6,C Major,4,2024-01-05,0BxE4FqsDD1Ot4YuBXwAPp,"Domino Recording Co",8B,https://p.scdn.co/mp3-preview/24ad19af2d5feeeb0048bff59b4096960b415848?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b1f8da74f225fa1225cdface
23,"Kelebekler","Madrigal",60,82,"turkish alt pop, turkish rock","Pop, Rock","Kelebekler",2019-12-04,04:07,70,45,14,0,85,0,0,-11,F Minor,4,2024-01-05,3O9G6FQrqhwQxR0GeeF93Q,"789115 Records DK",4A,https://p.scdn.co/mp3-preview/c9162585c2d27cedeb59524177a4d3a13f404e74?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514c0b400788192745566a9a14
24,"Legends","Juice WRLD",72,142,"chicago rap, melodic rap, rap","Hip Hop","Legends",2018-06-22,03:11,59,80,12,0,38,0,10,-5,E Major,4,2024-01-05,1Knctxx9vGZxpZfF66BIEa,"Juice WRLD / Interscope PS",12B,,https://i.scdn.co/image/ab67616d00004851f9061a1abb0b9a27a78c9916
25,"Baby I'm Yours","Breakbot,Irfane",60,118,"filter house, funktronica, nu disco, ","Electronic, R&B","Baby I'm Yours",2010-02-15,03:35,83,79,71,0,74,0,10,-4,D Minor,4,2024-01-05,5jr6pG3khBcBXZRm8NogSe,"Ed Banger Records",7A,https://p.scdn.co/mp3-preview/4b1309ae4f0b6f2e62caf8dd609d57c00fa7ebb8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d55f44fb47f63f0e7048a5a1
26,"STOP TRYING TO BE GOD","Travis Scott",70,150,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,05:38,59,57,22,0,11,0,10,-4,E Minor,4,2024-01-05,1xYpVRspgaLxdJLOTQkTjg,"Cactus Jack / Epic",9A,https://p.scdn.co/mp3-preview/94d1a277b4b8b4598f8f1b5737a6389239c456d8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
27,"Lightbringer","Pentakill",58,160,"melodic power metal","Metal","Smite and Ignite",2014-06-03,04:56,34,92,0,1,28,10,10,-6,E Major,4,2024-01-05,7ixYgkcd8aptv5bBAmQXYF,"Riot Games",12B,https://p.scdn.co/mp3-preview/2bf19c3f37966bf8e51d92db36d9ab7e1d8d20d5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485111b83ddd0da87a35c322da13
28,"Beteri Yok Uslanmaktan","Nova Norda",44,175,"turkish alt pop, turkish rock","Pop, Rock","Beteri Yok Uslanmaktan",2020-06-19,03:46,54,44,38,51,29,0,10,-11,F Minor,4,2024-01-05,2nDrbXeaeBbCBKvvN6CSy6,"Nova Norda",4A,,https://i.scdn.co/image/ab67616d00004851800e51385d600ac9b52e2993
29,"Lalala","Y2K,bbno$",74,130,"pop rap, viral rap, canadian hip hop, dark trap, meme rap","Hip Hop","Lalala",2019-06-28,02:40,84,39,18,0,50,0,10,-8,D Major,4,2024-01-05,51Fjme0JiitpyXKuyQiCDo,"Columbia",10B,https://p.scdn.co/mp3-preview/7b232b80a94250d348f64ba036acdc211bb04585?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518a6ccb507dd6a66f7f6e2440
30,"One","Metallica",75,102,"hard rock, metal, old school thrash, rock, thrash metal","Rock, Metal","...And Justice For All",1988-08-25,07:27,44,70,0,9,41,0,10,-9,G Major,3,2024-01-05,5IX4TbIR5mMHGE4wiWwKW0,"Blackened Recordings / Universal Music",9B,,https://i.scdn.co/image/ab67616d000048517c05e69390ab7c628a83cee7
31,"Rotisserie","Yung Gravy,bbno$",53,96,"meme rap, minnesota hip hop, canadian hip hop, dark trap","Hip Hop","Baby Gravy EP",2017-10-11,02:03,86,67,20,0,45,20,20,-7,C♯/D♭ Major,3,2024-01-05,4zDMybUdMSewKNxmGffD7v,"Yung Gravy & bbno$",3B,https://p.scdn.co/mp3-preview/23f0bc7f3ecc4d05aa4412bd1ebb616f9686a5fa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511112f72cfed05bbb373ea0e0
32,"ZEZE (feat. Travis Scott & Offset)","Kodak Black,Offset,Travis Scott",79,98,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino, atl hip hop, hip hop, pop rap, slap house","Hip Hop, Electronic, Latin","Dying to Live",2018-12-14,03:48,86,60,5,0,50,10,0,-6,G#/A♭ Minor,4,2024-01-05,0FZ4Dmg8jJJAPJnvBIzD9z,"Atlantic Records",1A,https://p.scdn.co/mp3-preview/08f1dd44f568b292b28283d9da851c0625ef0075?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f9508eb3070b95ceeb82788b
33,"sriracha","bbno$,lentra",57,100,"canadian hip hop, dark trap, meme rap","Hip Hop","sriracha",2019-04-19,02:09,92,48,9,0,96,20,10,-9,F Minor,4,2024-01-05,27uqXX6GcgnvzE2QzNaj4z,"no records",4A,https://p.scdn.co/mp3-preview/0260ae8b11704b54d1820005031f28a78a5148e6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485103cd7a1aae8bc7cacb96bb42
34,"Dream On","Aerosmith",8,161,"album rock, classic rock, hard rock, rock","Rock","Aerosmith",1973-01-05,04:26,31,43,39,0,22,0,30,-10,C♯/D♭ Major,4,2024-01-05,5MxNLUsfh7uzROypsoO5qe,"Columbia",3B,,https://i.scdn.co/image/ab67616d00004851b11078ee23dcd99e085ac33e
35,"Master Of Puppets","Metallica",79,105,"hard rock, metal, old school thrash, rock, thrash metal","Rock, Metal","Master Of Puppets (Remastered)",1986-03-03,08:35,54,84,0,43,56,0,10,-9,E Minor,4,2024-01-05,2MuWTIM3b0YEAskbeeFE1i,"Blackened Recordings / Universal Music",9A,,https://i.scdn.co/image/ab67616d00004851668e3aca3167e6e569a9aa20
36,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD,YoungBoy Never Broke Again",72,180,"chicago rap, melodic rap, rap, baton rouge rap","Hip Hop","Bandit (with YoungBoy Never Broke Again)",2019-10-04,03:09,47,63,7,0,43,30,10,-6,F Minor,4,2024-01-05,6Gg1gjgKi2AK4e0qzsR7sd,"Grade A Productions/Interscope Records",4A,,https://i.scdn.co/image/ab67616d000048515b4bee4c0dfe7f1ec4b2cc6d
37,"Borderline","Tame Impala",83,98,"australian psych, modern rock, neo-psychedelic, rock","Metal, Rock, Folk/Acoustic","The Slow Rush",2020-02-14,03:57,62,87,4,0,87,0,0,-3,F Minor,4,2024-01-05,5hM5arv9KDbCHS0k9uqwjr,"Universal Music Australia Pty. Ltd.",4A,,https://i.scdn.co/image/ab67616d0000485158267bd34420a00d5cf83a49
38,"Trust - Remastered 2004 / Remixed","Megadeth",58,132,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Cryptic Writings (Expanded Edition - Remastered)",1997-06-17,05:11,58,78,0,10,31,0,20,-5,F Major,4,2024-01-05,5emb8RDOZtpXlw6D0eEQbz,"Capitol Records",7B,,https://i.scdn.co/image/ab67616d0000485176eff96fd2e3f9df3e71b276
39,"Geçme Artık Sokağımdan","Madrigal",67,148,"turkish alt pop, turkish rock","Pop, Rock","Geçme Artık Sokağımdan",2022-04-15,03:33,45,54,28,0,64,0,30,-9,C♯/D♭ Minor,4,2024-01-05,2OAt5u4jbxjoOPshOSOa7g,"Madrigal",12A,https://p.scdn.co/mp3-preview/c65081e0c0020f157077d51b01814151795913da?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c0075ffaa62f53fd3cbda640
40,"A Tout Le Monde - Remastered 2004","Megadeth",68,203,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Youthanasia (Expanded Edition - Remastered)",1994-10-28,04:22,27,75,0,0,26,0,10,-5,F Minor,4,2024-01-05,6olS0TmHmsGr0hXtcBsiVM,"Capitol Records",4A,,https://i.scdn.co/image/ab67616d000048513171798d5cfc745f0ba24c84
41,"Eternal Youth","RŮDE",66,140,"japanese chillhop, rochester mn indie","Electronic, Pop","Eternal Youth",2017-08-07,03:25,66,49,3,90,5,0,20,-8,F#/G♭ Major,4,2024-01-05,0ytvsZOerGzUWfHXVT2Sgy,"Chill Squad",2B,https://p.scdn.co/mp3-preview/382362d729212567cb7c9048c89807a5f31a0c19?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851097f3d06dd8726a91f526e21
42,"Peace Sells - 2004 Remaster","Megadeth",60,138,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Peace Sells...But Who's Buying? (Expanded Edition - Remastered)",1986-00-00,04:02,30,92,0,26,70,10,50,-4,B Minor,4,2024-01-05,3090goAxG6IlpCifA8m9xB,"Capitol Records",10A,,https://i.scdn.co/image/ab67616d000048518fc06398d8852596d4981252
43,"Someone Said","Swae Lee",44,150,"melodic rap, rap, trap","Hip Hop","Someone Said",2020-02-28,03:43,90,49,0,36,26,10,10,-10,D Major,4,2024-01-05,5awaEIMiJboRO7ycF6UOot,"Eardruma Records/Interscope Records",10B,,https://i.scdn.co/image/ab67616d000048512faf794125630afde98803a3
44,"Will He","Joji",71,116,"viral pop","Pop","In Tongues (Deluxe)",2018-02-14,03:22,62,22,84,0,9,0,50,-15,A#/B♭ Major,4,2024-01-05,7wvwXi9Z66dcH5t202vVkN,"88rising Music / EMPIRE",6B,https://p.scdn.co/mp3-preview/1f6df4e2fcea275589d3d11b2201cc2d9f741830?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518e947f66f6d4eeaa56a28767
45,"Chamber Of Reflection","Mac DeMarco",83,131,"edmonton indie, lo-fi indie, pov: indie","Folk/Acoustic, Rock, Pop","Salad Days",2014-04-01,03:51,54,56,26,91,51,0,10,-9,B Major,4,2024-01-05,7H7NyZ3G075GqPx2evsfeb,"Captured Tracks",1B,https://p.scdn.co/mp3-preview/17a0b215c5cab8a53047fd6aa5c5dd54507efaec?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ec6e9c13eeed14eedbd5f7c9
46,"Lady - Hear Me Tonight","Modjo",80,126,"disco house, filter house","Electronic","Modjo (Remastered)",2001-00-00,05:07,72,81,1,3,87,0,0,-6,F#/G♭ Major,4,2024-01-05,49X0LAl6faAusYq02PRAY6,"Modjo Music",2B,https://p.scdn.co/mp3-preview/05e58f0bcf5a9a29f60d5aa4fd685a528a59f328?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485154c5c304064df85d61253ac7
47,"Phoenix","League of Legends,Cailin Russo,Chrissy Costanza",70,168,"speedrun, video game music, la pop, ","Pop, Electronic, Classical","Phoenix",2019-10-08,03:17,42,72,6,0,29,10,10,-7,A#/B♭ Minor,4,2024-01-05,6zAiRKvAMlXHxEtyO4yxIO,"Riot Games",3A,https://p.scdn.co/mp3-preview/619f4e362cdb72a2237b6c271178f02cc09d813d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a91543c0ec0301cca07792dc
